LEA ID ,District,Title I Allocations Under the Recovery Act
3415090,SOMERVILLE BOROUGH,"148,133"
3415120,SOUTH AMBOY CITY,"97,593"
3415180,SOUTH BOUND BROOK,"44,440"
3415210,SOUTH BRUNSWICK TOWNSHIP,0
3415240,SOUTH HACKENSACK TOWNSHIP,"22,656"
3415270,SOUTH HARRISON TOWNSHIP,"14,813"
3415300,SOUTH HUNTERDON REGIONAL,0
3415330,SOUTH ORANGE-MAPLEWOOD,0
3415360,SOUTH PLAINFIELD BOROUGH,0
3415390,SOUTH RIVER BOROUGH,"143,252"
3415420,SOUTHAMPTON TOWNSHIP,"44,440"
3415480,SOUTHERN REGIONAL,"127,220"
3415510,SPARTA TOWNSHIP,0
3415540,SPOTSWOOD BOROUGH,0
3415570,SPRING LAKE BOROUGH,0
3415600,SPRING LAKE HEIGHTS BOROUGH,"47,054"
3415630,SPRINGFIELD TOWNSHIP,0
3415660,SPRINGFIELD TOWNSHIP,0
3415690,STAFFORD TOWNSHIP,"144,647"
3415720,STANHOPE BOROUGH,0
3402880,STERLING HIGH SCHOOL DIST,"53,153"
3415750,STILLWATER TOWNSHIP,0
3415780,STOCKTON BOROUGH,0
3415810,STONE HARBOR BOROUGH,0
3415840,STOW CREEK TOWNSHIP,"14,813"
3415870,STRATFORD BOROUGH,"58,382"
3415900,SUMMIT CITY,0
3415960,SUSSEX-WANTAGE REGIONAL,"121,992"
3415990,SWEDESBORO-WOOLWICH,"33,983"
3416020,TABERNACLE TOWNSHIP,0
3416050,TAVISTOCK,0
3416080,TEANECK TOWNSHIP,"343,319"
3416110,TENAFLY BOROUGH,0
3416140,TETERBORO,0
3416170,TEWKSBURY TOWNSHIP,0
3416200,TINTON FALLS,0
3416230,TOMS RIVER REGIONAL,"1,834,665"
3416260,TOTOWA BOROUGH,"54,025"
3416290,TRENTON CITY,"6,270,639"
3416320,TUCKERTON BOROUGH,"53,153"
3416350,UNION BEACH,"98,465"
3416380,UNION CITY,"4,423,022"
3416440,UNION TOWNSHIP,0
3416500,UNION TOWNSHIP,"486,223"
3416530,UPPER DEERFIELD TOWNSHIP,"477,698"
3416560,UPPER FREEHOLD REGIONAL,0
3416590,UPPER PITTSGROVE TOWNSHIP,"73,195"
3416620,UPPER SADDLE RIVER BOROUGH,0
3416650,UPPER TOWNSHIP,0
3416680,VENTNOR CITY,"221,327"
3416710,VERNON TOWNSHIP,0
3416740,VERONA BOROUGH,0
3416770,VICTORY GARDENS,"27,884"
3416800,VINELAND CITY,"3,296,200"
3416830,VOORHEES TOWNSHIP,"177,759"
3417700,W WINDSOR-PLAINSBORO REG,0
3416860,WALDWICK BOROUGH,0
3416890,WALL TOWNSHIP,0
3416920,WALLINGTON BOROUGH,"125,477"
3416870,WALLKILL VALLEY REGIONAL,"35,726"
3416950,WANAQUE BOROUGH,"71,452"
3416970,WARREN HILLS REGIONAL,"98,465"
3416980,WARREN TOWNSHIP,0
3417010,WASHINGTON BOROUGH,"54,025"
3417040,WASHINGTON TOWNSHIP,0
3417070,WASHINGTON TOWNSHIP,0
